Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дробаха,Єлисей,Тарасович,male,1941-01-10,Громадський діяч,село Апостолове,"набережна Лінія 45-та, буд. 9, Люботин, 28813",+380 (65) 347-82-39,bohuslav04@example.org
Онищенко,Зиновій,Тарасович,male,1977-06-10,Стоматолог,місто Конотоп,"вулиця 15-та ст. Великого Фонтану пляж, буд. 6, Тисмениця, 40939",+380 (20) 168-44-86,snizhanakarpa@example.org
Запорожець,Світлана,Ігорівна,female,1963-05-03,Письменник,місто Суми,"площа Кругова, буд. 84, Старий Самбір, 34647",+380 73 548 05 19,nazar51@example.org
Ірванець,Варфоломій,Євгенович,male,1970-06-21,Мікробіолог,селище Золотоноша,"парк Лузанівська, буд. 23, Ромни, 36937",098 300 07 07,prykhodkoalina@example.net
Мазур,Світлана,Ярославівна,female,1946-09-06,Провізор,хутір Новогродівка,"проспект Компасний, буд. 0, Буча, 92310",063 451-03-21,fdubenko@example.net
Аврамчук,Дан,Федорович,male,1994-10-23,Промисловець,селище Житомир,"сквер Ювілейний 2-й, буд. 318, Пологи, 82956",821-15-42,anita10@example.org
Оробець,Едуард,Васильович,male,1956-06-17,Візажист,село Дніпрорудне,"шосе Дур'янівський, буд. 6 кв. 0, Петрово-Красносілля, 43747",027 838-72-20,hunkovarfolomii@example.org
Комар,Альбіна,Анатоліївна,female,1946-12-30,Графік,село Самбір,"шосе Акордна, буд. 1 кв. 91, Родинське, 20336",041-30-53,oleh63@example.net
Бабʼюк,Надія,Борисівна,female,1940-12-27,Підприємець,місто Макіївка,"шосе Східчастий 3-й, буд. 586 кв. 6, Синельникове, 72502",994-74-63,stanislav23@example.org
Ватаманюк,Вадим,Геннадійович,male,1965-01-04,Астроном,хутір Радивилів,"площа Пересипська 8-ма, буд. 250 кв. 17, Турка, 73928",084 960 53 92,cshchyrytsia@example.com
Вакуленко,Ярина,Тарасівна,female,1961-09-08,Парфюмер,місто Селидове,"сквер Цимлянська, буд. 62 кв. 7, Ровеньки, 70151",018 912 25 33,bohuslavvashchenko-zakharchenko@example.org
Товстоліс,Антон,Володимирович,male,1968-06-30,Економіст,селище Володимир-Волинський,"проспект Лесі Українки, буд. 336, Селидове, 91700",812 64 30,ostapsvyrydenko@example.net
Фартушняк,Михайлина,Євгенівна,female,2004-05-02,Фармацевт,село Мостиська,"площа Тополиний, буд. 42 кв. 539, Верхівцеве, 32653",+380 77 662 21 31,viktoriiazasenko@example.org
Чуйко,Богданна,Ігорівна,female,1950-03-08,Шериф,хутір Кривий Ріг,"шосе Гетьманський, буд. 0, Берегове, 75513",000 669-52-02,bashtanveniiamyn@example.com
Щириця,Давид,Миколайович,male,1941-12-17,Зоолог,селище Глухів,"сквер Валерія Лобановського, буд. 09 кв. 38, Хрустальний, 80825",+380 40 438 24 80,hlibhrytsenko@example.org
Редько,Анжела,Ульянівна,female,1954-08-04,Живописець,селище Сторожинець,"площа Перепечка, буд. 583 кв. 8, Шептицький, 32989",001 538-66-65,ihnat26@example.net
Ільєнко,Михайло,Петрович,male,1959-09-25,Дизайнер,селище Олешки,"парк Канатний, буд. 0 кв. 72, Тернопіль, 31869",+380 37 498 87 05,zhaidamaka@example.org
Чумак,Вадим,Геннадійович,male,1998-07-09,Патологоанатом,місто Олександрівськ,"проспект Молодіжна, буд. 4 кв. 6, Лозова, 38536",805-86-14,hennadiitovstolis@example.org
Яценко,Валерій,Сергійович,male,1939-12-18,Секретар,хутір Валки,"набережна Композитора Вербицького, буд. 41 кв. 47, Красилів, 57013",+380 58 071-90-18,olesiashchenko@example.com
Охримович,Віктор,Володимирович,male,1998-12-16,Маркетолог,село Винники,"площа Бодаревського, буд. 8, Деражня, 26492",+380 35 090-22-48,sirkovalentyna@example.net
Теліженко,Одарка,Русланівна,female,1945-07-20,Гірничий інженер,хутір Семенівка,"провулок Старобазарний, буд. 759, Нова Каховка, 01309",+380 69 479-21-73,nazar45@example.com
Христич,Василина,Євгенівна,female,2007-08-03,Дерун,хутір Селидове,"узвіз Ніжинська, буд. 8, Житомир, 30726",049 721 01 24,anastasiiaartymyshyn@example.net
Лазаренко,Єлисавета,Артемівна,female,1959-06-13,Маркетолог,хутір Мелітополь,"вулиця Назарівська, буд. 901, Кипуче, 41890",+380 81 004-94-98,danyloprotsenko@example.org
Годунок,Климент,Федорович,male,1942-08-05,Різноробочий,село Буринь,"площа 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 209, Снігурівка, 81361",+380 44 820-79-32,nestor96@example.com
Рубан,Марко,Геннадійович,male,1947-08-09,Адвокат,село Підгородне,"парк Гвоздична, буд. 33, Брянка, 72883",055 461-39-74,perebyinisleon@example.org
Шовкопляс,Анжела,Геннадіївна,female,1994-05-10,Літературознавець,селище Монастириська,"узвіз Чорноморський 5-й, буд. 1 кв. 952, Гайворон, 97709",+380 04 835-96-89,azar30@example.org
Андрейко,Богодар,Ульянович,male,2009-05-25,Електромонтажник,хутір Чорнобиль,"проспект Лазурського, буд. 54 кв. 60, Южноукраїнськ, 44942",+380 59 621-68-75,bprytula@example.net
Затовканюк,Віолетта,Артемівна,female,1946-11-16,Єгер,хутір Приморськ,"вулиця Балтський 5-й, буд. 196, Щастя, 72011",+380 59 686-96-76,wnehoda@example.net
Міщенко,Станіслав,Ігоревич,male,1939-08-30,Фізик,село Устилуг,"проспект Дружний, буд. 56, Дубно, 63429",+380 91 104-55-86,adamiesypenko@example.org
Наливайко,Марія,Сергіївна,female,1998-11-16,Громадський діяч,хутір Дубровиця,"узвіз Ашгабатська, буд. 118, Токмак, 95378",+380 59 216-89-35,alevtyn91@example.org
Олійник,Віолетта,Ігорівна,female,1952-08-26,Режисер,селище Немирів,"парк Гонтаренко, буд. 68 кв. 20, Гірське, 39478",038 321 41 49,elazarenko@example.net
Лазаренко,Пріска,Тарасівна,female,1999-08-01,Намотувальник,місто Сніжне,"узвіз Рибальська балка, буд. 139, Богодухів, 55292",+380 90 616-21-59,liubovmalyk@example.org
Фурс,Ірина,Ульянівна,female,1991-12-19,Кінорежисер,місто Нововолинськ,"проспект Березова, буд. 37 кв. 3, Іловайськ, 23537",550 12 15,zhadanokhrim@example.com
Єрошенко,Пріска,Тарасівна,female,1972-03-12,Пекар,хутір Берестечко,"узвіз Сміливий, буд. 9, Калуш, 54127",094 003 07 59,martasych@example.com
Ґжицька,Мирон,Геннадійович,male,1956-02-18,Модельєр,селище Бучач,"шосе Василя Фащенка, буд. 01, Путивль, 72038",786 27 49,arsen25@example.net
Верхола,Еріка,Володимирівна,female,1955-02-25,Кінолог,місто Монастирище,"узвіз Флотський 1-й, буд. 86 кв. 83, Селидове, 86399",+380 60 436-56-87,illiadeineko@example.org
Іщак,Онисим,Геннадійович,male,1972-07-18,Медик,село Васильків,"провулок Сортувальна 2-га, буд. 7, Заставна, 99094",+380 99 542-55-41,okseniia31@example.com
Джус,Аврелій,Ярославович,male,1999-03-30,Дерун,місто Стрий,"парк Валерія Самофалова, буд. 348, Апостолове, 03887",+380 55 632-28-82,tzatula@example.org
Самойленко,Ада,Геннадіївна,female,1951-07-23,Швачка,хутір Козятин,"площа Артура Савельєва, буд. 4 кв. 949, Маріуполь, 82659",+380 79 956-55-31,abramchukserhii@example.org
Охріменко,Світлана,Дмитрівна,female,1942-04-10,Художник,місто Зоринськ,"узвіз Український 3-й, буд. 31, Глухів, 62223",279 42 23,sdubas@example.com
Ребрик,Ярема,Олександрович,male,1975-09-21,Адвокат,село Дніпро,"узвіз Лиманчик 2-й Лінія 2-га, буд. 11 кв. 1, Білицьке, 85313",+380 28 769 05 17,evlasenko@example.net
Петрик,Василь,Сергійович,male,2005-07-01,Гірничий інженер,село Суходільськ,"площа Героїв УПА, буд. 217, Слов'янськ, 40884",755 07 64,danmasokha@example.org
Верменич,Ярослава,Русланівна,female,2000-11-05,Швачка,місто Лебедин,"парк Аеропортівський 6-й, буд. 6 кв. 66, Кадіївка, 89329",046-55-70,kperebyinis@example.com
Даньків,Нестор,Геннадійович,male,1962-08-31,Фольклорист,село Обухів,"узвіз Лузанівський, буд. 33, Полонне, 81320",424 07 01,demianudovenko@example.net
Гриценко,Оксана,Леонідівна,female,1939-04-30,Музичний редактор,селище Володимир-Волинський,"шосе Лінія 37-ма, буд. 965, Мирноград, 51970",+380 43 169-25-32,rostyslavartym@example.org
Корбут,Алевтин,Ульянович,male,2001-09-11,Краєзнавець,хутір Тисмениця,"провулок Липнева, буд. 1 кв. 1, Хоростків, 62887",+380 07 439-16-71,avramenkopanteleimon@example.org
Бандера,Давид,Петрович,male,1950-04-02,Фермер,село Жидачів,"узвіз Дельфін, буд. 81 кв. 777, Новодружеськ, 82868",013 729 84 60,shyianiustym@example.net
Луценко,Єфрем,Сергійович,male,1953-07-09,Електромонтажник,село Білицьке,"шосе Казковий, буд. 3 кв. 8, Мена, 97319",+380 37 807-97-96,ruslan97@example.com
Сірко,Остап,Дмитрович,male,1972-06-03,Різноробочий,хутір Новоград-Волинський,"вулиця Давида Бурлюка, буд. 4, Святогірськ, 35228",083-20-77,mykhailynazubko@example.org
Гузь,Яків,Володимирович,male,2005-03-11,Професор,місто Прип'ять,"площа Восьмого березня 2-й, буд. 12, Рахів, 05240",522-60-85,vadymkonoplenko@example.com
Базилевич,Сніжана,Петрівна,female,1977-12-27,Кінолог,хутір Монастирище,"площа Пішонівська, буд. 12 кв. 958, Ходорів, 27958",754-72-07,ndrozdenko@example.com
Луценко,Валерій,Миколайович,male,1983-02-12,Електротехнік,селище Чуднів,"парк Ніщинського Композитора, буд. 6, Біла Церква, 30982",+380 42 028-47-74,khudiakzlatoslava@example.com
Дараган,Панас,Ярославович,male,1939-01-07,Дантист,село Світловодськ,"сквер Олешківська, буд. 265 кв. 26, Тлумач, 87206",123-88-75,erikaviter@example.net
Тимчук,Валерій,Борисович,male,1998-01-12,М'ясник,хутір Татарбунари,"провулок Івана Микитенка, буд. 210 кв. 4, Буськ, 74913",+380 26 286-64-27,avanchenko@example.org
Дубенко,Альбіна,Анатоліївна,female,1953-01-01,Няня,хутір Українськ,"парк Ніни Строкатої, буд. 2 кв. 661, Берестин, 34078",009 084 47 06,davyd83@example.net
Козаченко,Орина,Миколаївна,female,1962-09-28,Детектив,село Жидачів,"вулиця Чернігівська, буд. 80 кв. 370, Стебник, 12829",966-97-29,kashchenkooleh@example.org
Яременко,Аніта,Євгенівна,female,2009-03-19,Флорист,селище Берегове,"вулиця Шкільний, буд. 91 кв. 555, Харків, 68275",+380 43 236-41-35,khorishkoandrii@example.net
Ющенко,Емілія,Василівна,female,1953-02-17,Юрист,село Ніжин,"проспект Миколи Бажана, буд. 519 кв. 03, Білицьке, 05243",085 142 16 33,orysiavasylashko@example.com
Фаренюк,Степан,Зіновійович,male,1950-01-29,Дизайнер,селище Мукачево,"площа Щіпний, буд. 100, Зугрес, 91758",091 741 85 16,dbazavluchenko@example.org
Швачка,Костянтин,Геннадійович,male,1985-11-13,Професор,хутір Хмільник,"проспект Хутірська, буд. 59 кв. 403, Горішні Плавні, 26121",088 538-55-57,halynakorzh@example.com
Рак,Владислав,Геннадійович,male,1991-07-08,Географ,селище Коломия,"вулиця Флотський 3-й, буд. 65 кв. 95, Деражня, 38081",+380 (01) 725-85-99,larysa07@example.org
Архимович,Олександр,Євгенович,male,1981-05-11,Локсмайстер,селище Заліщики,"набережна Тепличний 1-й, буд. 8 кв. 5, Лозова, 23448",+380 87 419-44-70,hukleonid@example.org
Баранник,Гліб,Петрович,male,2009-02-03,Шериф,місто Виноградів,"проспект Олександра Станкова, буд. 7, Гребінка, 65537",+380 24 788-27-79,qavramenko@example.com
Василенко,Артем,Олександрович,male,1989-01-28,Каскадер,місто Красногорівка,"проспект Лінія 55-та, буд. 292 кв. 348, Вознесенськ, 82027",056 686-83-65,tandriievych@example.org
Хомик,Орина,Євгенівна,female,1963-08-15,Музикант,село Новояворівськ,"узвіз Дальницьке, буд. 2, Ворожба, 84960",095 215-43-89,svyrydenkoroksolana@example.com
Бабко,Одарка,Зіновіївна,female,1949-03-04,Візажист,хутір Балта,"шосе Тінистий, буд. 3, Кривий Ріг, 90626",041 156 16 96,talanvasyl@example.org
Перебийніс,Ольга,Ульянівна,female,1982-11-30,Флорист,село Хмільник,"площа Джутовий, буд. 972 кв. 200, Вишневе, 41529",+380 50 380-84-06,klavdiia61@example.com
Василевич,Анжела,Артемівна,female,2005-11-08,Гірник,місто Вижниця,"шосе Середня, буд. 0 кв. 769, Заводське, 29267",093 078-27-48,maksym52@example.com
Данилюк,Данило,Євгенович,male,2000-09-29,Дерун,селище Іллінці,"провулок Стеценко, буд. 7, Золоте, 31255",127-27-44,tkachenkoteodor@example.net
Салій,Максим,Миколайович,male,2006-12-05,Електромонтажник,село Козятин,"сквер Італійський, буд. 33, Полонне, 94851",+380 99 647-79-58,boleslavbarannyk@example.com
Стельмах,Юстим,Леонідович,male,1952-03-10,Графік,хутір Вуглегірськ,"площа Моторна, буд. 4 кв. 393, Часів Яр, 55874",+380 18 361 23 22,dantkachenko@example.com
Бездітко,Дарина,Геннадіївна,female,1952-09-09,Конструктор,хутір Петрово-Красносілля,"парк Ветеранів праці, буд. 8 кв. 263, Городенка, 52643",094 500-93-20,ostap90@example.net
Гавриш,Єва,Петрівна,female,2004-12-01,Візажист,селище Кременець,"провулок Бугаївська, буд. 395, Сторожинець, 03267",+380 45 442-55-22,vernyhoraodarka@example.net
Гаврилюк,Ліза,Борисівна,female,1993-12-28,Дизайнер,місто Гайворон,"провулок Вишнева, буд. 97 кв. 93, Бережани, 04601",+380 (05) 122-66-69,tsiutsiurasviatoslava@example.org
Сацюк,Болеслав,Ярославович,male,1998-01-05,Дантист,хутір Костянтинівка,"сквер Ланжеронівська, буд. 737 кв. 53, Карлівка, 51060",+380 83 974 59 92,viktoriiaverkhola@example.com
Гузенко,Аврелій,Геннадійович,male,1964-03-31,Золотар,хутір Нетішин,"площа Саймона Літмана, буд. 613 кв. 97, Коростень, 43809",755 39 08,kyrylenkoandrii@example.net
Матвієнко,Віталій,Володимирович,male,1966-04-11,Каскадер,село Вишневе,"набережна Шампанський, буд. 5 кв. 085, Ходорів, 18820",431 49 19,alina18@example.net
Демʼянчук,Борислав,Васильович,male,1964-05-15,Кінолог,село Радомишль,"проспект Бітумна, буд. 8, Мирноград, 29713",+380 61 883-12-95,danna26@example.net
Перепелиця,Тетяна,Євгенівна,female,1991-08-14,Електрослюсар,селище Боярка,"узвіз 10-та Лінія Марії Демченко, буд. 95 кв. 458, Обухів, 34385",+380 03 814-77-12,liubov22@example.com
Цимбалюк,Борислав,Русланович,male,1947-05-07,Юрист,селище Гребінка,"сквер Кримська, буд. 5 кв. 138, Ніжин, 71471",067 080-28-74,albinaiatsenko@example.com
Лупій,Франц,Дмитрович,male,1951-05-11,Музикознавець,місто Бобринець,"шосе Військово-морських сил, буд. 18 кв. 44, Новодружеськ, 19788",+380 26 334-80-73,bkabanenko@example.org
Дутка,Наталія,Василівна,female,1966-01-14,Астроном,хутір Ржищів,"парк Куниці, буд. 013 кв. 65, Коломия, 25461",+380 72 352-35-89,volodymyr32@example.com
Жадан,Гаврило,Артемович,male,1954-05-19,Машиніст,місто Новодністровськ,"сквер Сінна, буд. 2 кв. 1, Сокологірськ, 41048",+380 91 028 44 19,khorishkodanylo@example.org
Фесенко,Ганна,Ярославівна,female,2000-05-22,Графік,селище Ізяслав,"шосе Гіацинтовий, буд. 1, Вознесенівка, 77945",519 86 90,qdemydenko@example.com
Скопенко,Олекса,Васильович,male,1956-04-14,Диригент,хутір Бахмач,"набережна Четверта, буд. 9, Новоукраїнка, 70338",+380 (80) 022-32-68,leonbandurka@example.net
Гупало,Гордій,Дмитрович,male,1941-10-25,Гицель,село Стрий,"узвіз Басейний 3-й, буд. 180, Ірміно, 50313",+380 59 132-65-79,venedyktbabiak@example.com
Акуленко,Валентин,Зіновійович,male,1967-05-20,Парфюмер,селище Славутич,"набережна Чубаївська, буд. 439 кв. 1, Ізюм, 26369",+380 (74) 046-80-62,omelian78@example.org
Яременко,Єва,Миколаївна,female,1964-10-20,Астронавт,місто Житомир,"площа Чорноморський 3-й, буд. 3, Чуднів, 46311",082 731-77-26,nazar62@example.com
Нестеренко,Левко,Ярославович,male,1948-10-31,Кухар,хутір Привілля,"площа Єфімова, буд. 2, Охтирка, 95918",623-29-62,arkadii73@example.org
Микитюк,Едита,Ігорівна,female,1989-02-20,Антрополог,місто Енергодар,"набережна Київське, буд. 69 кв. 56, Сколе, 96462",+380 (71) 078-29-15,huziiamvrosii@example.org
Величко,Камілла,Дмитрівна,female,2009-05-11,Будник,хутір Сміла,"узвіз Мацієвської, буд. 78, Сіверськодонецьк, 39775",553 32 88,ruslaniakymchuk@example.org
Рак,Марта,Геннадіївна,female,1967-02-06,Дантист,місто Сіверськ,"узвіз Бузковий 1-й, буд. 51 кв. 86, Горохів, 23073",+380 (40) 887-73-43,iaroslavaderkach@example.org
Андрощук,Леон,Русланович,male,1948-06-08,Мірошник,село Чернігів,"сквер Леоніда Осики, буд. 573, Оріхів, 61711",320 48 90,ilienkoamvrosii@example.org
Бандера,Вадим,Тарасович,male,2006-12-21,Детектив,село Вознесенівка,"шосе Селищний, буд. 84 кв. 01, Горішні Плавні, 94743",+380 64 461-78-89,zvermenych@example.net
Чубай,Анжела,Дмитрівна,female,1983-09-09,Ґрунтознавець,хутір Благовіщенське,"проспект Донецька, буд. 8, Валки, 53525",036 433-29-23,odarka76@example.net
Яременко,Олена,Петрівна,female,1999-03-02,Візажист,хутір Лисичанськ,"узвіз Виїзна, буд. 17 кв. 13, Шостка, 22569",+380 (51) 442-31-99,vdovenkosolomiia@example.com
Шаблій,Стефан,Русланович,male,2002-07-30,Ювелір,село Іршава,"узвіз Павла Чубинського, буд. 437 кв. 96, Зимогір'я, 30919",+380 65 601-01-89,stepansuprunenko@example.org
Царенко,Єлисавета,Сергіївна,female,1995-11-29,Хімік,селище Єнакієве,"шосе Локомотивний 2-й, буд. 442 кв. 242, Слов'янськ, 67482",024 354-74-89,vitalii91@example.com
Баклан,Сніжана,Артемівна,female,1981-07-23,Акушер,хутір Куп'янськ,"проспект Ференца Ліста, буд. 05 кв. 655, Вовчанськ, 17154",+380 32 894 55 84,martynzakharchenko@example.org
Демʼянчук,Трохим,Леонідович,male,1967-12-08,Штукатур,селище Великі Мости,"сквер Івана Микитенка, буд. 6, Марганець, 46159",063 304 89 86,hresvolodymyr@example.org
Арсенич,Антон,Русланович,male,1965-04-29,Слідчий,місто Авдіївка,"узвіз Черешнева, буд. 624, Новоукраїнка, 49580",046 183-53-23,mariia11@example.net
Ґоляш,Ростислав,Анатолійович,male,1997-12-27,Флорист,хутір Амвросіївка,"узвіз Артура Савельєва, буд. 097, Полтава, 28956",+380 (38) 443-36-00,stefan89@example.com
Чумаченко,Людмила,Ульянівна,female,1996-12-23,Фізик,місто Бахмач,"провулок Юрія Олеші, буд. 1, Хирів, 32972",020 101 05 26,tymofii43@example.net
Цісик,Георгій,Дмитрович,male,1967-05-09,Державний службовець,село Ніжин,"площа Кордонний, буд. 760, Тлумач, 57542",861-93-80,sviatoslava10@example.com
Бабко,Остап,Русланович,male,1974-11-16,Кушнір,селище Красилів,"набережна Вокзальна, буд. 353 кв. 013, Тульчин, 95834",574 03 56,varvara94@example.org
Ґалаґан,Ігнат,Леонідович,male,1944-05-28,Нотаріус,село Запоріжжя,"проспект Шкіперська, буд. 79, Теребовля, 40830",069 539-98-42,shutkoparmen@example.net
Даниленко,Емілія,Русланівна,female,1956-09-18,Живописець,хутір Боково-Хрустальне,"проспект Високий, буд. 19, Коломия, 49840",821-81-38,markobakumenko@example.com
Ірванець,Ярина,Ігорівна,female,1978-03-08,Кушнір,хутір Мар'їнка,"шосе Депутатський, буд. 18 кв. 91, Хутір-Михайлівський, 75756",+380 (13) 298-63-23,iaryna28@example.com
Дацюк,Соломон,Олександрович,male,1948-05-11,Ювелір,село Калинівка,"проспект Південно-Санаторний, буд. 524 кв. 557, Пустомити, 55584",+380 07 244-20-96,usyklevko@example.net
Ґоляш,Олег,Леонідович,male,1989-07-30,Електротехнік,селище Дружківка,"шосе Кінбурнський, буд. 5, Білопілля, 23756",+380 60 432-05-43,akhudiak@example.org
Черненко,Михайлина,Ігорівна,female,1994-06-11,Шериф,село Овруч,"набережна Ланжеронівський узвіз, буд. 822, Деражня, 61718",245 43 78,griaboshapka@example.com
Гайдай,Михайло,Сергійович,male,1975-09-24,Геофізик,село Інкерман,"парк Юрія Кондратюка, буд. 930 кв. 7, Болехів, 42179",+380 70 918-85-66,gfartushniak@example.org
Симоненко,Ярослава,Василівна,female,1985-04-08,Мистецтвознавець,хутір Умань,"площа Баштанна, буд. 386 кв. 42, Гнівань, 40765",673 39 38,sirchenkovolodymyra@example.com
Стельмах,Лесь,Геннадійович,male,1967-08-23,Етнограф,хутір Голубівка,"парк Отрада, буд. 440, Моспине, 59657",+380 93 376-18-50,marko25@example.org
Романчук,Леопольд,Євгенович,male,1940-04-13,Фармацевт,хутір Гадяч,"проспект Середня, буд. 691 кв. 398, Ічня, 77477",031 426 50 69,hrytsenkoliudmyla@example.org
Сірченко,Олександр,Дмитрович,male,1974-01-13,Єгер,хутір Копичинці,"шосе Юннатів 1-й, буд. 8, Амвросіївка, 07034",647-80-71,viktoriiaavdieienko@example.org
Опанасенко,Августин,Ігоревич,male,1963-11-07,Лікар,село Шахтарське,"площа Тополиний, буд. 2 кв. 998, Івано-Франківськ, 73104",+380 (47) 807-54-03,herman99@example.net
Сірко,Зиновій,Тарасович,male,1956-11-03,Стропальник,місто Рожище,"набережна Йосипа Тимченка, буд. 9, Амвросіївка, 24123",+380 49 826-03-08,vitruktereza@example.net
Аврамчук,Лариса,Олександрівна,female,2000-02-29,Дерун,хутір Багачеве,"парк Малинова, буд. 667 кв. 268, Сіверськодонецьк, 75987",+380 16 045-41-08,iustym56@example.com
Іваничук,Соломія,Артемівна,female,1950-04-11,Електромонтер,хутір Лебедин,"проспект Онілової, буд. 5 кв. 6, Середина-Буда, 70085",+380 55 039-46-06,skhomenko@example.org
Шведченко,Марина,Русланівна,female,1981-09-03,Композитор,селище Алчевськ,"провулок В'ячеслава Липинського, буд. 94, Інкерман, 02417",858 77 70,nosachenkoles@example.net
Ляшко,Одарка,Євгенівна,female,2007-02-27,Випробувач,місто Бунге,"узвіз Залізнична, буд. 897, Кодима, 81109",+380 81 980-68-89,dankevychieva@example.com
Щириця,Марія,Ігорівна,female,1990-05-10,Адвокат,селище Знам'янка,"площа Книжковий, буд. 168 кв. 9, Євпаторія, 69961",+380 (63) 001-15-86,bviter@example.com
Романчук,Еріка,Володимирівна,female,1945-03-11,Електротехнік,місто Українка,"провулок Заводська 3-тя, буд. 7 кв. 75, Світловодськ, 39013",+380 48 512 64 76,orynashamrai@example.org
Лупій,Ростислав,Федорович,male,1953-12-19,Сантехнік,село Красноперекопськ,"вулиця Чорноморська, буд. 995 кв. 822, Берестечко, 96568",526-79-19,leonid81@example.org
Чаленко,Аврелій,Володимирович,male,1979-03-22,Математик,селище Зіньків,"сквер Бандурний, буд. 64, Кіцмань, 50860",+380 87 211-58-97,varfolomiimatviienko@example.net
Іщак,Нестор,Ігоревич,male,1990-07-11,Драматург,місто Березне,"узвіз Лінія 47-ма, буд. 390 кв. 351, Берегове, 55354",075 586 13 03,hfomenko@example.org
Гайдамака,Христина,Дмитрівна,female,1986-01-30,Гінеколог,селище Золотоноша,"провулок Академічний, буд. 0, Вознесенськ, 85463",030 377 82 09,shyloviktor@example.org
Ярема,Степан,Олександрович,male,1976-01-17,Ґрунтознавець,село Південне,"узвіз Амундсена, 3-й, буд. 84 кв. 483, Олександрівськ, 54538",+380 03 605-60-04,vasylynabairak@example.net
Авдєєнко,Ярина,Леонідівна,female,1999-06-02,Електромонтер,селище Вознесенівка,"проспект Мала Арнаутська, буд. 759 кв. 9, Виноградів, 38328",+380 73 880-26-61,ttaran@example.com
Колісниченко,Устим,Ярославович,male,1990-07-14,Електрослюсар,місто Зіньків,"шосе Квітковий, буд. 0, Славута, 27077",148-11-41,markokozachenko@example.org
Швачка,Орест,Борисович,male,1987-08-27,Юрист,місто Канів,"набережна Скляний 3-й, буд. 0, Хорол, 24766",+380 95 308-21-64,pdanchenko@example.net
Товстоліс,Соломон,Геннадійович,male,1940-11-22,Антрополог,хутір Жашків,"шосе Українських Героїв, буд. 70 кв. 9, Знам'янка, 12843",+380 72 225-13-65,pkybkalo@example.org
Власенко,Михайло,Борисович,male,1986-12-28,Бібліотекар,місто Алмазна,"сквер Флотський 3-й, буд. 2 кв. 06, Старий Самбір, 77008",+380 08 317 49 50,stepan28@example.com
Гриценко,Ірена,Зіновіївна,female,1942-08-19,Астроном,селище Бахмут,"узвіз Павла Зеленого, буд. 376 кв. 777, Володимир-Волинський, 31882",+380 58 630 35 76,vadymdubyna@example.org
Семенченко,Оксана,Василівна,female,1960-06-13,Сценарист,село Виноградів,"проспект Надіїі, буд. 9, Тульчин, 17242",987 06 74,babakvalentyn@example.com
Кабаненко,Адам,Володимирович,male,1978-12-11,Географ,селище Борщів,"набережна Скляна, буд. 1, Торецьк, 25550",+380 79 316-38-73,sbabiak@example.com
Терещук,Трохим,Анатолійович,male,1947-02-17,Слідчий,хутір Родинське,"шосе Соні Делоне, буд. 23, Новий Калинів, 42154",153 66 33,klavdiiatverdokhlib@example.org
Тимчук,Богданна,Петрівна,female,1945-07-05,Сценарист,село Гайсин,"сквер Лінія 25-та, буд. 686 кв. 41, Федорівка, 84885",+380 (36) 235-21-53,wvalenko@example.com
Запорожець,Златослава,Тарасівна,female,1969-05-03,Електрик,селище Снігурівка,"вулиця Довженка, буд. 814, Новгород-Сіверський, 43130",+380 57 391-91-58,priska39@example.net
Матвієнко,Орися,Русланівна,female,1984-09-08,Клоун,хутір Кальміуське,"вулиця Багринова, буд. 386, Южне, 29957",086 73 20,iakiv60@example.net
Свистун,Зорян,Володимирович,male,2007-08-24,Мікробіолог,хутір Вінниця,"провулок Верстатобудівна, буд. 9, Новодністровськ, 94337",094 867-75-06,onikoliuk@example.org
Карась,Опанас,Борисович,male,1956-06-13,Астрофізик,місто Лутугине,"площа Військовий узвіз, буд. 89 кв. 5, Тетіїв, 24324",+380 29 672 59 35,jumanets@example.com
Редько,Тимофій,Васильович,male,1960-06-30,Флорист,селище Ковель,"сквер Олександра Тимошенка, буд. 933 кв. 16, Радомишль, 26777",347 70 70,hkorzh@example.org
Лукаш,Семен,Ярославович,male,1943-03-06,Юрист,місто Старий Самбір,"сквер Віталія Нестеренка, буд. 869 кв. 3, Новий Буг, 98123",268 99 64,vakulenkoanzhela@example.com
Кащенко,Данило,Миколайович,male,1995-05-05,Модель,селище Володимир-Волинський,"проспект Віри Інбер, буд. 38, Перечин, 92930",+380 84 267-18-39,fdatsiuk@example.org
Сімашкевич,Юстина,Ярославівна,female,1972-03-24,Географ,хутір Українка,"узвіз Бориса Едуардса, буд. 194, Тячів, 33236",+380 64 584-97-52,vmiroshnychenko@example.com
Дубас,Прохір,Зіновійович,male,2008-11-11,Перекладач,село Кодима,"набережна Скрипковий, буд. 1, Тячів, 34266",+380 08 900-94-37,nosenkoarkadii@example.com
Ребрик,Варвара,Олександрівна,female,2009-04-15,Математик,селище Корсунь-Шевченківський,"узвіз Сегедська, буд. 0 кв. 850, Гірське, 79411",051 632-27-97,leontii84@example.net
Сагаль,Герман,Борисович,male,1953-04-11,Футболіст,село Миколаїв,"набережна Новоберегова, буд. 78 кв. 60, Рівне, 07089",+380 (56) 369-44-91,havrylo73@example.org
